File,Result,D_B,D_C,D_L,D_R,D_S,D_E(%),nNodes,nEdges,nSegRelEdges,dPairs,segPairErrors,nodeCorrect,edgeDiffClassCount,undirDiffClassCount,nSeg,detectedSeg,dSegRelEdges,CorrectSegments,CorrectSegmentsAndClass,ClassError,CorrectSegRels,CorrectSegRelLocations,SegRelErrors,hasCorrectSegments,hasCorrectSegLab,hasCorrectRelationLocations,hasCorrectRelLab,hasCorrectStructure
K-Oracle/200922-1017-2.lg, Correct,0,0,0,0,0,0.0,11,110,0,0,0,11,0,0,8,8,0,8,8,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-30.lg, Incorrect,10,2,8,0,8,0.17456445417091557,15,210,0,4,4,13,0,0,13,13,0,7,7,6,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-31.lg, Incorrect,5,1,4,0,4,0.12264276603100395,14,182,0,2,2,13,0,0,13,13,0,10,10,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-32.lg, Incorrect,10,2,8,2,6,0.1552293562811581,16,240,0,4,3,14,2,1,10,10,0,7,7,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-33.lg, Correct,0,0,0,0,0,0.0,7,42,0,0,0,7,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-34.lg, Incorrect,10,2,8,2,6,0.1780274566673891,14,182,0,4,3,12,2,1,8,8,0,5,5,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-36.lg, Incorrect,10,2,8,0,8,0.16338279055670357,16,240,0,4,4,14,0,0,11,11,0,6,6,5,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-37.lg, Incorrect,7,1,6,0,6,0.2294871267669123,9,72,0,3,3,8,0,0,6,6,0,4,4,2,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-38.lg, Incorrect,5,1,4,0,4,0.19417187730071425,9,72,0,2,2,8,0,0,6,6,0,3,3,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-3.lg, Correct,0,0,0,0,0,0.0,5,20,0,0,0,5,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-41.lg, Correct,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-42.lg, Incorrect,7,1,6,0,6,0.2294871267669123,9,72,0,3,3,8,0,0,7,7,0,4,4,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-43.lg, Incorrect,7,1,6,0,6,0.25988455690265905,8,56,0,3,3,7,0,0,6,6,0,3,3,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-44.lg, Incorrect,23,3,20,0,20,0.22599221974386008,18,306,0,10,10,15,0,0,11,11,0,3,3,8,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-47.lg, Correct,0,0,0,0,0,0.0,2,2,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-48.lg, Incorrect,25,3,22,0,22,0.26434335693983274,16,240,0,11,11,13,0,0,10,10,0,3,3,7,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-49.lg, Incorrect,7,1,6,0,6,0.20546592649810738,10,90,0,3,3,9,0,0,6,6,0,3,3,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-4.lg, Correct,0,0,0,0,0,0.0,3,6,0,0,0,3,0,0,3,3,0,3,3,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-51.lg, Incorrect,7,1,6,0,6,0.1699115886815181,12,132,0,3,3,11,0,0,8,8,0,5,5,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-52.lg, Correct,0,0,0,0,0,0.0,5,20,0,0,0,5,0,0,4,4,0,4,4,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-53.lg, Correct,0,0,0,0,0,0.0,3,6,0,0,0,3,0,0,2,2,0,2,2,0,0,0,0,1,1,1,1,1
K-Oracle/200922-1017-54.lg, Incorrect,12,2,10,0,10,0.261613623657903,11,110,0,5,5,9,0,0,8,8,0,4,4,4,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-55.lg, Incorrect,14,2,12,2,10,0.1968656484787348,15,210,0,6,5,13,2,1,8,8,0,5,5,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-56.lg, Incorrect,5,1,4,0,4,0.2533568475685035,7,42,0,2,2,6,0,0,6,6,0,3,3,3,0,0,0,0,0,1,1,0
K-Oracle/200922-1017-60.lg, Correct,0,0,0,0,0,0.0,7,42,0,0,0,7,0,0,5,5,0,5,5,0,0,0,0,1,1,1,1,1
